"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.bench.ListBenchmark.array_addFirst","avgt",1,3,"0,078022","0,061059","ms/op"
"com.bench.ListBenchmark.array_addLast","avgt",1,3,"0,000020","0,000120","ms/op"
"com.bench.ListBenchmark.array_iterate","avgt",1,3,"1,582198","4,929957","ms/op"
"com.bench.ListBenchmark.array_randomGet","avgt",1,3,"0,000025","0,000039","ms/op"
"com.bench.ListBenchmark.linked_addFirst","avgt",1,3,"0,000134","0,000031","ms/op"
"com.bench.ListBenchmark.linked_addLast","avgt",1,3,"0,000138","0,000025","ms/op"
"com.bench.ListBenchmark.linked_iterate","avgt",1,3,"3,701233","29,944820","ms/op"
"com.bench.ListBenchmark.linked_randomGet","avgt",1,3,"0,625891","2,060440","ms/op"
